Scenario,ChangedParameter,ChangedValue,CSVFile,BatchIndex,Time,Start_Vertiport,End_Vertiport,PassengerFlow,Flights,AirKM,LoadFactor,ModelStatus
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T9,717,449,4.0,1.0,7.654544453228288,1.0,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T9,449,782,10.0,3.0,8.307228591621705,0.8333333333333334,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T9,645,584,1.0,1.0,6.120633980923698,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T9,645,782,11.0,3.0,6.648538664474961,0.9166666666666666,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T9,584,645,1.0,1.0,6.120633980923698,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T9,716,645,1.0,1.0,6.119583921765259,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T10,449,782,9.0,3.0,8.307228591621705,0.75,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T10,645,584,3.0,1.0,6.120633980923698,0.75,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T10,645,716,3.0,1.0,6.119583921765259,0.75,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T10,645,782,8.0,2.0,6.648538664474961,1.0,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T10,584,645,1.0,1.0,6.120633980923698,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T10,782,645,2.0,1.0,6.648538664474961,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T11,717,449,1.0,1.0,7.654544453228288,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T11,449,780,1.0,1.0,7.5988976461735085,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T11,449,782,17.0,5.0,8.307228591621705,0.85,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T11,780,449,1.0,1.0,7.5988976461735085,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T11,645,584,1.0,1.0,6.120633980923698,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T11,645,716,1.0,1.0,6.119583921765259,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T11,645,782,6.0,2.0,6.648538664474961,0.75,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,2,T11,584,645,4.0,1.0,6.120633980923698,1.0,OPTIMAL
